filename,label,has_horizon,has_stars,sharp,bright_enough,not_noisy,flickering
J125219p264053_001_010_1512_281_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1513_1642_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1548_1459_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1561_1810_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1563_993_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1578_1852_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1578_1921_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1621_838_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1629_853_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1671_1679_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1699_1144_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1712_1733_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1768_197_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1775_658_6.jpg,rejected,False,True,True,True,False,True
J125219p264053_001_010_1775_669_6.jpg,rejected,False,True,True,True,False,True
J125219p264053_001_010_1786_1269_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1788_73_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1800_499_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1812_467_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1815_792_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1829_655_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1850_1644_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1856_931_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1858_833_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_186_1261_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1880_1577_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1890_1404_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1893_1970_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1907_1916_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1927_289_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_192_784_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1939_1586_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1952_1194_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1977_1639_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1988_1396_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1990_475_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1991_721_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_200_1221_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_336_1319_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_340_197_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_356_123_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_357_877_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_376_574_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_425_233_6.jpg,rejected,False,True,True,True,False,True
J125219p264053_001_010_447_1435_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_448_1004_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_48_1471_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_533_301_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_542_867_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_546_424_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_560_1059_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_57_1410_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_587_1891_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_590_1401_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_634_617_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_639_1789_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_648_301_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_649_1868_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_655_1212_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_663_1958_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_670_1041_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_677_931_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_67_446_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_687_1390_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_694_1926_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_698_1721_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_705_1735_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_722_1129_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_768_33_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_777_581_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_783_1342_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_788_1007_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_797_911_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_799_1482_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_802_1822_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_805_1270_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_814_1460_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_837_1481_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_852_1151_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_931_1145_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_931_808_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_934_1429_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_944_529_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_947_772_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_955_1149_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_971_1623_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_986_1787_6.jpg,rejected,False,True,True,True,False,True
J125219p264053_001_010_986_697_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1024_208_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1044_1743_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1048_1189_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1054_1094_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1054_1867_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1090_1395_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1105_1578_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1135_1715_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_117_163_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1191_670_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1204_249_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1226_343_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1236_1059_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1245_383_6.jpg,rejected,False,False,True,True,False,True
J1252p2640_r_01_10_1253_474_6.jpg,rejected,False,False,True,True,False,True
